column_first;row_first
0.453732;0.574272
0.661305;0.526591
0.567586;0.500942
0.528027;0.527198
0.513242;0.582138
0.513974;0.432652
0.557011;0.436314
0.538876;0.666311
0.506509;0.437596
0.375317;0.416326
0.4159;0.416026
0.355392;0.615204
0.50351;0.492933
0.547435;0.351451
0.532204;0.553542
0.534099;0.417021
0.284868;0.413854
0.547271;0.421185
0.511937;0.69009
0.532213;0.547682
0.387987;0.388908
0.378901;0.42932
0.5245;0.262843
0.416395;0.553142
0.488525;0.586886
0.527923;0.406742
0.474222;0.343099
0.478692;0.383078
0.536851;0.589953
0.513319;0.637412
0.464076;0.489245
0.536132;0.463852
0.532427;0.533222
0.33648;0.399712
0.506991;0.433495
0.519998;0.544901
0.549939;0.425867
0.437034;0.577753
0.402333;0.412106
0.51358;0.557761
0.372364;0.57971
0.530597;0.42101
0.515967;0.342507
0.52497;0.312253
0.525254;0.399269
0.397847;0.443899
0.388756;0.475048
0.507391;0.534437
0.34799;0.431667
0.393047;0.399828
0.520711;0.609804
0.585815;0.367743
0.480532;0.450282
0.509561;0.427949
0.589512;0.583414
0.621059;0.528495
0.508322;0.535264
0.469486;0.497238
0.534212;0.415979
0.573558;0.606535
