low_none;low_omp_critical;low_compare_exchange;medium_none;medium_omp_critical;medium_compare_exchange;high_none;high_omp_critical;high_compare_exchange
1.62909;8.08937;1.52992;0.30809;0.756578;0.322228;0.142534;0.0694069;0.139973
1.10582;6.9361;2.83405;0.302494;0.731748;0.31503;0.0864219;0.128999;0.120948
1.27586;6.29568;3.52501;0.257969;0.514747;0.294422;0.116598;0.0697253;0.127983
0.887635;5.35911;1.65191;0.320201;1.07463;0.467196;0.120977;0.119006;0.107552
1.51305;7.17248;2.2755;0.132314;0.718723;0.29916;0.0885713;0.137537;0.210707
1.10015;8.95294;5.08315;0.292794;1.0822;0.280465;0.106306;0.0437727;0.0634709
1.36988;5.10579;2.26505;0.316966;0.549143;0.282904;0.127873;0.0841749;0.083401
1.7074;7.33975;1.52816;0.271409;0.666319;0.326584;0.0190017;0.0221159;0.120893
0.748475;4.88341;2.3011;0.323573;1.30557;0.483717;0.135115;0.0939636;0.100659
1.35339;8.41484;3.65847;0.273996;0.762474;0.286797;0.130536;0.0984889;0.103698
1.34387;7.06597;1.90889;0.250335;0.694681;0.230561;0.125884;0.0713618;0.0546723
0.867056;5.26512;1.49228;0.237213;0.499815;0.256058;0.240201;0.15118;0.0749371
0.930169;6.73963;1.86558;0.304308;1.1419;0.320504;0.107029;0.0947265;0.0551892
1.68306;6.90336;2.87152;0.32946;1.31032;0.324629;0.0810514;0.115944;0.119711
1.70764;8.18894;4.7599;0.254229;0.920841;0.312491;0.257677;0.105233;0.132179
1.50819;11.2978;1.7456;0.270565;0.932893;0.425273;0.118121;0.141441;0.120642
0.680242;9.13854;2.10231;0.312439;1.07268;0.543024;0.127571;0.0806551;0.10725
1.13157;6.52977;3.30866;0.261773;0.719646;0.322954;0.136295;0.254179;0.134458
1.48697;6.00376;3.26718;0.284159;1.09055;0.508029;0.12475;0.108743;0.06256
1.54109;6.55164;2.18153;0.276708;0.730416;0.448962;0.117405;0.22671;0.122296
2.21972;7.89859;2.2959;0.328387;0.893996;0.315117;0.132676;0.274541;0.116085
1.46442;9.08127;2.50974;0.274546;0.693286;0.128269;0.138693;0.233408;0.119713
1.06949;5.53026;1.91295;0.272395;1.09376;0.320079;0.0764097;0.0453907;0.119486
1.30683;8.95002;2.3999;0.31773;1.12447;0.561318;0.24697;0.131132;0.0897435
1.14949;7.36375;3.27539;0.303007;0.884673;0.319508;0.135351;0.0731515;0.100479
0.939129;6.06211;2.53092;0.265467;1.33681;0.517256;0.092449;0.24274;0.126086
1.10597;7.15896;1.89641;0.290426;1.15362;0.319895;0.154028;0.0829725;0.121568
1.68122;6.70656;1.93905;0.29407;1.13937;0.351186;0.0710643;0.0990064;0.0901248
1.33775;9.50974;2.32212;0.311413;0.924116;0.331434;0.0887343;0.0774632;0.243026
0.910466;4.92638;1.16242;0.247738;0.524262;0.241648;0.116514;0.105121;0.125418
1.41357;9.69221;3.95384;0.242979;0.702412;0.256667;0.0996889;0.282961;0.127712
1.70473;9.721;2.2957;0.27984;1.11138;0.280042;0.127216;0.113183;0.0883269
1.47174;7.90333;1.71109;0.298359;0.650525;0.293011;0.0802642;0.267475;0.126497
0.854226;4.92965;1.29794;0.227252;0.525064;0.293314;0.0848354;0.102491;0.0678939
1.0449;5.12544;2.84837;0.280362;0.52141;0.281566;0.140499;0.162714;0.125949
0.688192;4.93007;1.90463;0.269935;1.12189;0.302146;0.157041;0.279745;0.129513
2.11546;8.72446;3.10661;0.287184;0.868515;0.462719;0.0849019;0.141466;0.107093
1.66604;7.54614;1.69808;0.268341;1.48781;0.332981;0.1094;0.0997429;0.140043
1.25073;6.04678;2.32777;0.281376;0.525562;0.329367;0.111614;0.115764;0.115506
1.69618;9.74453;1.46009;0.274422;0.704359;0.271839;0.12315;0.0679195;0.0714408
0.951825;8.98896;3.81201;0.336931;0.897753;0.255927;0.128782;0.115285;0.104675
1.71392;13.6506;10.1447;1.17004;4.138;1.1982;0.728661;0.602718;1.00642
3.73792;22.129;9.19179;1.12996;3.79807;1.38855;0.531243;0.789092;0.595437
4.19899;21.5488;4.96332;1.16975;3.73189;1.19679;0.797766;0.737275;0.73884
5.53213;23.3883;6.59883;1.17575;3.39663;1.59315;0.74339;0.940462;1.13506
5.39771;20.7321;6.15998;1.38282;3.15482;1.18438;0.753384;0.950272;0.603262
5.39406;16.567;4.99857;1.37014;2.77511;1.56833;0.92748;0.795705;0.923625
3.93807;15.7339;5.38469;0.960652;3.99155;1.37767;0.730943;0.721523;0.731528
4.92141;20.9891;5.16532;0.943869;4.74167;1.194;0.746747;0.786993;0.95576
4.58066;20.59;7.18518;1.32171;2.97921;1.34515;0.73513;0.801377;0.792937
4.53712;18.7448;6.34346;1.17063;3.40629;1.39824;0.790824;0.555703;0.770067
3.19016;15.1806;5.75264;1.15352;2.93397;1.13551;0.608375;0.765357;0.935917
3.74543;19.5586;4.53074;1.1287;3.39755;1.19102;0.792559;0.756914;0.951171
3.78333;22.1638;5.95155;0.945006;4.9809;2.12425;0.76441;0.588118;0.583225
4.15516;19.9984;6.40006;1.19618;3.34899;1.79789;0.782292;0.768416;0.584643
5.33024;16.9803;5.56281;1.16331;3.40148;1.77974;0.590879;0.759608;0.750346
4.34021;22.979;8.18631;0.984853;3.80311;1.13351;0.58832;0.921608;0.925053
4.54711;19.7324;9.14595;1.15388;3.78444;1.36972;0.758296;0.783279;0.921603
4.60002;18.7825;6.33462;0.983739;3.94694;1.39712;0.583852;0.954673;0.747394
4.00117;25.334;9.19888;1.16953;4.54919;1.35527;0.595869;0.577913;0.92678
