1/100_static;1-100000_static;1/100_dynamic;1-100000_dynamic;1/100_guided;1-100000_guided
0.24163;0.306912;0.291552;0.269626;0.299284;0.298314
0.275773;0.281237;0.467014;0.277097;0.377652;0.202978
0.329436;0.41833;0.286022;0.288565;0.244452;0.245167
0.42566;0.23343;0.300556;0.304188;0.304461;0.316551
0.320274;0.223989;0.435722;0.432065;0.388462;0.262901
0.405305;0.236895;0.438144;0.432586;0.512357;0.316799
0.279545;0.439165;0.269174;0.301908;0.259423;0.0781993
0.52503;0.224449;0.494977;0.158419;0.305927;0.339101
0.337838;0.298426;0.502034;0.314493;0.306498;0.282601
0.270222;0.257263;0.262069;0.427279;0.264894;0.273859
0.487839;0.24201;0.279961;0.295105;0.466719;0.430924
0.316188;0.318453;0.477091;0.443417;0.294456;0.298325
0.493155;0.315044;0.421976;0.309052;0.326044;0.25356
0.431008;0.277346;0.449686;0.326326;0.31492;0.293926
0.483482;0.471876;0.493361;0.295328;0.313852;0.218165
0.274925;0.467927;0.488775;0.226434;0.305011;0.275638
0.499148;0.285544;0.26178;0.291698;0.305504;0.148687
0.507842;0.456085;0.308229;0.138983;0.24102;0.483289
0.506771;0.321611;0.532451;0.307367;0.291298;0.316451
0.521482;0.330002;0.507699;0.272909;0.470688;0.104881
0.320906;0.288437;0.294811;0.271798;0.300309;0.282155
0.45512;0.154717;0.267289;0.420226;0.287536;0.253777
0.482726;0.285304;0.476964;0.381985;0.603774;0.096596
0.284497;0.254057;0.458981;0.0749723;0.497123;0.274491
0.517889;0.286109;0.488961;0.11637;0.488;0.258947
0.473702;0.443322;0.442331;0.227732;0.69694;0.30234
0.399781;0.404415;0.460382;0.290788;0.439349;0.419142
0.470336;0.301432;0.278464;0.29898;0.310685;0.240112
0.480899;0.102665;0.29921;0.29645;0.535273;0.471542
0.483616;0.318242;0.284899;0.412844;0.475015;0.43758
0.520194;0.263142;0.498503;0.475631;0.404439;0.429636
0.494378;0.252983;0.488158;0.275354;0.517693;0.246491
0.545569;0.417106;0.470363;0.332772;0.454746;0.257526
0.47764;1.35966;1.57204;1.58503;1.18637;1.5411
1.79018;1.40505;1.60536;1.3663;1.99292;1.76631
1.18563;1.54294;1.16278;1.13411;1.81357;1.78055
1.77772;1.56543;1.5889;1.54094;1.57189;1.54614
1.61467;1.38823;1.58841;1.5405;1.7755;1.36279
1.3919;1.79255;1.37635;1.95243;1.74858;1.73948
1.80629;1.18247;1.5903;1.14851;1.53231;1.18992
1.52378;0.980144;2.17012;0.99486;1.33691;1.16453
1.94341;1.57845;2.55431;1.5224;1.98414;0.961211
1.95334;1.37143;1.93962;1.75166;1.77464;1.54688
1.34755;2.15924;1.37975;1.35435;1.99034;1.38645
1.38157;1.74854;1.99236;1.15979;1.77158;1.18028
1.37371;1.76985;1.20443;1.36945;2.00262;1.98302
1.55435;1.1828;1.75208;1.57698;2.13844;1.39299
1.53041;0.939446;1.38236;1.16477;1.39464;1.5381
1.80372;1.55028;1.76274;1.39658;1.74408;1.14781
1.74953;1.01149;1.35076;0.98194;1.53219;1.78608
