1/100_static;1-100000_static;1/100_dynamic;1-100000_dynamic;1/100_guided;1-100000_guided
0.193338;0.164586;0.137944;0.161722;0.162147;0.147298
0.32519;0.160815;0.0848769;0.318071;0.156965;0.169288
0.272022;0.151693;0.128696;0.162259;0.290575;0.285899
0.345188;0.135843;0.346492;0.134882;0.166039;0.125949
0.348368;0.140664;0.0863782;0.149268;0.151736;0.342346
0.334626;0.246876;0.161451;0.165421;0.137178;0.156806
0.130747;0.101014;0.31879;0.0935192;0.155912;0.181363
0.301982;0.154248;0.346549;0.125544;0.193034;0.14928
0.327989;0.322113;0.177653;0.164763;0.271181;0.338733
0.336522;0.123356;0.334724;0.334391;0.29259;0.3063
0.320797;0.189001;0.145466;0.303712;0.346498;0.313119
0.132862;0.183723;0.14912;0.190009;0.172802;0.166194
0.342177;0.157542;0.28296;0.154224;0.301623;0.131884
0.263644;0.23273;0.141774;0.286938;0.269702;0.114291
0.27061;0.290006;0.128941;0.162165;0.294469;0.0989216
0.145575;0.158067;0.349;0.416658;0.258746;0.118393
0.157735;0.172514;0.135371;0.132445;0.274551;0.141176
0.251017;0.304812;0.368636;0.280405;0.12941;0.166686
0.377108;0.30686;0.310158;0.178922;0.329983;0.149978
0.169859;0.341579;0.311035;0.188138;0.345913;0.120563
0.143651;0.171587;0.335346;0.290282;0.328191;0.277139
0.328337;0.345916;0.153608;0.32531;0.307854;0.145561
0.365846;0.301147;0.332047;0.142375;0.187435;0.134499
0.165979;0.336203;0.180885;0.3382;0.166729;0.32124
0.361408;0.19967;0.263302;0.311221;0.335357;0.170935
0.363;0.307414;0.172568;0.163479;0.328408;0.122788
0.39401;0.343397;0.34546;0.314522;0.322732;0.558294
0.485814;0.351009;0.396953;0.211555;0.375832;0.311467
0.348969;0.346843;0.349385;0.351992;0.372751;0.410383
0.338764;0.333329;0.360492;0.352898;0.363905;0.155569
0.409098;0.210061;0.417937;0.355742;0.363743;0.40499
0.546532;0.352988;0.407109;0.345281;0.367237;0.467626
0.341685;0.353362;0.352356;0.292783;0.359003;0.35577
0.369653;0.361033;0.358018;0.2982;0.381374;0.195416
0.103157;0.27549;0.125544;0.131469;0.257079;0.145806
0.327009;0.321501;0.307303;0.163729;0.334711;0.146623
0.386145;0.343054;0.340433;0.169865;0.173431;0.332843
0.341455;0.158171;0.186518;0.294799;0.303198;0.112145
0.312284;0.16562;0.83293;0.0890517;0.603046;0.158796
0.60445;0.333184;0.231849;0.169475;0.176776;0.0830506
0.263994;0.161262;0.315022;0.341404;0.150958;0.20306
0.490873;0.0699892;0.371004;0.315309;0.223762;0.107047
0.336534;0.337158;0.399754;0.354435;0.372363;0.170967
0.0911069;0.183157;0.356755;0.175508;0.327038;0.285497
0.169847;0.292123;0.273313;0.184649;0.177015;0.171228
0.351314;0.328716;0.147079;0.362825;0.147726;0.155154
0.307612;0.104586;0.315525;0.343383;0.139074;0.267432
0.356643;0.14637;0.190022;0.342323;0.336523;0.312543
0.317163;0.344849;0.342485;0.143179;0.164406;0.172667
0.385544;0.31703;0.319433;0.139703;0.303863;0.170079
0.171422;0.344522;0.298977;0.112264;0.163862;0.499746
0.199793;0.498368;0.125004;0.171944;0.423132;0.199761
0.434576;0.386287;0.314278;0.195496;0.321242;0.110523
0.17645;0.167483;0.273089;0.157106;0.114844;0.159385
0.338526;0.167466;0.190254;0.160116;0.365123;0.15781
0.276212;0.0904616;0.348144;0.131867;0.353204;0.335264
0.38317;0.12513;0.227211;0.393286;0.327121;0.22986
0.329987;0.137794;0.321082;0.157503;0.538859;0.0310733
0.230317;0.175812;0.5958;0.353116;0.724389;0.301947
0.206748;0.124925;0.173106;0.08253;0.2598;0.16556
